product_name,craft_category,craft_type,primary_material,crafting_time,size_complexity,artisan_region,utility_type,target_demographic,actual_price,price_range,source_url
Handcrafted Lac Bangles Set,Jewellery & Accessories,Lac Craft,Lac & Glass Beads,Unknown,Small/Miniature,Jharkhand,Wearable Fashion,Unknown,350,,https://www.tribesindia.com/product/handcrafted-lac-bangles-set
Handcrafted Banjara Embroidered Shoulder Bag,Jewellery & Accessories,Banjara Embroidery,Cotton & Mirrors,Unknown,Medium/Standard,Telangana,Wearable Fashion,Unknown,1450,,https://www.tribesindia.com/product/banjara-embroidered-shoulder-bag
Lambadi Tribal Handcrafted Coin Purse,Jewellery & Accessories,Banjara Embroidery,Cotton & Coins,Unknown,Small/Miniature,Andhra Pradesh,Wearable Fashion,Unknown,420,,https://www.tribesindia.com/product/lambadi-tribal-coin-purse
Tribal Dokra Brass Anklets Pair,Jewellery & Accessories,Dhokra Casting,Pure Brass,Unknown,Small/Miniature,Odisha,Wearable Fashion,Unknown,680,,https://www.tribesindia.com/product/dokra-brass-anklets-pair
Handcrafted Terracotta Bead Necklace Set,Jewellery & Accessories,Terracotta Jewelry,Terracotta Clay,Unknown,Small/Miniature,West Bengal,Wearable Fashion,Unknown,290,,https://www.tribesindia.com/product/terracotta-bead-necklace-set
Handcrafted Silver Oxidized Tribal Earrings,Jewellery & Accessories,Tribal Silver Craft,German Silver,Unknown,Small/Miniature,Rajasthan,Wearable Fashion,Unknown,450,,https://www.tribesindia.com/product/silver-oxidized-tribal-earrings
Handcrafted Brass Tarkashi Inlay Elephant Statue,Metalwork & Brassware,Tarkashi Wire Inlay,Brass & Wood,Unknown,Medium/Standard,Rajasthan,Home Decor / Exhibition,Unknown,850,,https://www.tribesindia.com/product/tarkashi-inlay-brass-elephant
Handcrafted Brass Bell Metal Tribal Musician Pair,Metalwork & Brassware,Dhokra Casting,Bell Metal,Unknown,Medium/Standard,Chhattisgarh,Home Decor / Exhibition,Unknown,1950,,https://www.tribesindia.com/product/bell-metal-tribal-musician-pair
Handcrafted Brass Kamandalu Holy Water Vessel,Metalwork & Brassware,Brass Sheet Craft,Pure Brass,Unknown,Medium/Standard,Uttar Pradesh,Festive & Ritual,Unknown,1650,,https://www.tribesindia.com/product/brass-kamandalu-water-vessel
Handcrafted Dhokra Metal Tribal Tree of Life,Metalwork & Brassware,Dhokra Casting,Bronze & Bell Metal,Unknown,Large/Display,Odisha,Home Decor / Exhibition,Unknown,3400,,https://www.tribesindia.com/product/dhokra-metal-tree-of-life
Handcrafted Copper Kalash Urn,Metalwork & Brassware,Copper Metalwork,Copper,Unknown,Medium/Standard,Maharashtra,Festive & Ritual,Unknown,890,,https://www.tribesindia.com/product/handcrafted-copper-kalash-urn
Handcrafted Brass Ganesha Idol Small,Metalwork & Brassware,Brass Casting,Pure Brass,Unknown,Small/Miniature,Tamil Nadu,Festive & Ritual,Unknown,1250,,https://www.tribesindia.com/product/brass-ganesha-idol-small
Framed Pithora Ritual Canvas Painting Large,Folk Painting & Tribal Art,Pithora Painting,Canvas & Natural Pigments,Unknown,Large/Display,Gujarat,Home Decor / Exhibition,Unknown,4800,,https://www.tribesindia.com/product/framed-pithora-canvas-painting
Handpainted Saura Tribal Wall Panel Art,Folk Painting & Tribal Art,Saura Painting,Cloth & Pigments,Unknown,Medium/Standard,Odisha,Home Decor / Exhibition,Unknown,1850,,https://www.tribesindia.com/product/saura-tribal-wall-panel
Traditional Cheriyal Scroll Painting Canvas,Folk Painting & Tribal Art,Cheriyal Scroll Painting,Khadi Canvas & Natural Colors,Unknown,Medium/Standard,Telangana,Home Decor / Exhibition,Unknown,2200,,https://www.tribesindia.com/product/cheriyal-scroll-painting-canvas
Handpainted Kalamkari Tree of Life Cloth Painting,Folk Painting & Tribal Art,Kalamkari Painting,Cotton Fabric & Dyes,Unknown,Medium/Standard,Andhra Pradesh,Home Decor / Exhibition,Unknown,1650,,https://www.tribesindia.com/product/kalamkari-tree-of-life-painting
Handpainted Phad Folk Painting on Cloth,Folk Painting & Tribal Art,Phad Painting,Cotton Canvas & Stone Dyes,Unknown,Large/Display,Rajasthan,Home Decor / Exhibition,Unknown,3500,,https://www.tribesindia.com/product/phad-folk-painting-cloth
Handpainted Gond Deer Pair Canvas,Folk Painting & Tribal Art,Gond Painting,Canvas & Acrylics,Unknown,Medium/Standard,Madhya Pradesh,Home Decor / Exhibition,Unknown,1450,,https://www.tribesindia.com/product/gond-deer-pair-canvas
Handloom Kalamkari Cotton Fabric 2.5m,Handloom Textiles,Kalamkari Printing,Cotton,Unknown,Medium/Standard,Andhra Pradesh,Wearable Fashion,Unknown,650,,https://www.tribesindia.com/product/kalamkari-cotton-fabric-running
Handloom Kota Doria Cotton Saree,Handloom Textiles,Kota Doria Weaving,Cotton & Silk,Unknown,Large/Display,Rajasthan,Wearable Fashion,Unknown,2850,,https://www.tribesindia.com/product/kota-doria-cotton-saree
Handloom Pochampally Ikat Silk Saree,Handloom Textiles,Ikat Weaving,Mulberry Silk,Unknown,Large/Display,Telangana,Wearable Fashion,Unknown,8900,,https://www.tribesindia.com/product/pochampally-ikat-silk-saree
Handwoven Toda Tribal Embroidered Stole,Handloom Textiles,Toda Embroidery,Cotton Wool Blend,Unknown,Medium/Standard,Tamil Nadu,Wearable Fashion,Unknown,2400,,https://www.tribesindia.com/product/toda-tribal-embroidered-stole
Traditional Naga Tribal Handwoven Shawl,Handloom Textiles,Naga Weaving,Acrylic Wool Blend,Unknown,Medium/Standard,Nagaland,Wearable Fashion,Unknown,3100,,https://www.tribesindia.com/product/naga-tribal-handwoven-shawl
Handloom Kantha Stitch Silk Dupatta,Handloom Textiles,Kantha Embroidery,Tussar Silk,Unknown,Medium/Standard,West Bengal,Wearable Fashion,Unknown,1950,,https://www.tribesindia.com/product/kantha-stitch-silk-dupatta
Handloom Maheshwari Cotton Silk Saree,Handloom Textiles,Maheshwari Weaving,Cotton & Silk,Unknown,Large/Display,Madhya Pradesh,Wearable Fashion,Unknown,3600,,https://www.tribesindia.com/product/maheshwari-cotton-silk-saree
Traditional Rabari Embroidered Cotton Kurti,Handloom Textiles,Rabari Embroidery,Handloom Cotton,Unknown,Medium/Standard,Gujarat,Wearable Fashion,Unknown,1250,,https://www.tribesindia.com/product/rabari-embroidered-cotton-kurti
Handcrafted Channapatna Wooden Stacking Rings Toy,Woodcraft,Lacquer Turnery,Softwood & Vegetable Dyes,Unknown,Small/Miniature,Karnataka,Home Decor / Exhibition,Unknown,380,,https://www.tribesindia.com/product/channapatna-wooden-stacking-rings
Handcrafted Kashmiri Paper Mache Jewelry Trunk,Woodcraft,Paper Mache Craft,Paper Pulp & Wood,Unknown,Medium/Standard,Jammu & Kashmir,Home Decor / Exhibition,Unknown,1850,,https://www.tribesindia.com/product/kashmiri-paper-mache-jewelry-trunk
Hand-carved Walnut Wood Dry Fruit Bowl,Woodcraft,Wood Carving,Walnut Wood,Unknown,Medium/Standard,Jammu & Kashmir,Kitchenware & Utility,Unknown,1450,,https://www.tribesindia.com/product/walnut-wood-dry-fruit-bowl
Handcrafted Rosewood Carved Elephant Pair,Woodcraft,Wood Carving,Rosewood,Unknown,Medium/Standard,Kerala,Home Decor / Exhibition,Unknown,2200,,https://www.tribesindia.com/product/rosewood-carved-elephant-pair
Handcrafted Wooden Block Stamp for Printing,Woodcraft,Block Carving,Teak Wood,Unknown,Small/Miniature,Rajasthan,Home Decor / Exhibition,Unknown,280,,https://www.tribesindia.com/product/wooden-block-stamp-printing
Hand-carved Sheesham Wooden Wall Key Holder,Woodcraft,Wood Carving,Sheesham Wood,Unknown,Small/Miniature,Uttar Pradesh,Home Decor / Exhibition,Unknown,450,,https://www.tribesindia.com/product/sheesham-wooden-key-holder
Handwoven Bamboo Storage Hamper Basket,Bamboo & Cane,Basketry,Bamboo,Unknown,Medium/Standard,Tripura,Kitchenware & Utility,Unknown,750,,https://www.tribesindia.com/product/bamboo-storage-hamper-basket
Handcrafted Cane Folding Hand Fan,Bamboo & Cane,Cane Craft,Cane & Bamboo,Unknown,Small/Miniature,Assam,Home Decor / Exhibition,Unknown,180,,https://www.tribesindia.com/product/cane-folding-hand-fan
Handwoven Bamboo Flower Vase,Bamboo & Cane,Bamboo Craft,Bamboo,Unknown,Medium/Standard,Mizoram,Home Decor / Exhibition,Unknown,520,,https://www.tribesindia.com/product/bamboo-flower-vase
Handwoven Sabai Grass Laundry Basket,Bamboo & Cane,Grass Weaving,Sabai Grass,Unknown,Large/Display,Odisha,Kitchenware & Utility,Unknown,980,,https://www.tribesindia.com/product/sabai-grass-laundry-basket
