product_name,craft_category,craft_type,primary_material,crafting_time,size_complexity,artisan_region,utility_type,target_demographic,actual_price,price_range,source_url
Dhokra Bell Metal Standing Deer Statue,Metalwork & Brassware,Dhokra Casting,Bell Metal,Unknown,Medium/Standard,Chhattisgarh,Home Decor / Exhibition,Unknown,1309,,https://www.tribesindia.com/product/dhokra-standing-deer-statue
Dhokra Bell Metal Large Ganesh Idol,Metalwork & Brassware,Dhokra Casting,Bronze & Bell Metal,Unknown,Large/Display,Odisha,Festive & Ritual,Unknown,5060,,https://www.tribesindia.com/product/dhokra-large-ganesh-idol
Terracotta Rajasthani Tribal Bust Pair,Pottery & Terracotta,Clay Pottery,Terracotta Clay,Unknown,Small/Miniature,Rajasthan,Home Decor / Exhibition,Unknown,237,,https://www.tribesindia.com/product/terracotta-rajasthani-tribal-bust-pair
Terracotta Hanging Flower Pot Planter,Pottery & Terracotta,Clay Pottery,Terracotta Clay,Unknown,Medium/Standard,West Bengal,Home Decor / Exhibition,Unknown,396,,https://www.tribesindia.com/product/terracotta-hanging-flower-pot
Hand Block Printed Cotton Double Bedsheet Set,Handloom Textiles,Block Printing,Cotton,Unknown,Large/Display,Rajasthan,Home Decor / Exhibition,Unknown,1353,,https://www.tribesindia.com/product/hand-block-printed-cotton-bedsheet
Traditional Warli Village Scene Cloth Painting,Folk Painting & Tribal Art,Warli Painting,Cloth & Rice Paste,Unknown,Small/Miniature,Maharashtra,Home Decor / Exhibition,Unknown,432,,https://www.tribesindia.com/product/warli-village-scene-cloth-painting
Warli Tarpa Dance Canvas Painting,Folk Painting & Tribal Art,Warli Painting,Canvas & Natural Pigments,Unknown,Medium/Standard,Maharashtra,Home Decor / Exhibition,Unknown,742,,https://www.tribesindia.com/product/warli-tarpa-dance-canvas-painting
Handcrafted Bamboo Hair Pin Set,Bamboo & Cane,Bamboo Craft,Bamboo,Unknown,Small/Miniature,Assam,Wearable Fashion,Unknown,44,,https://www.tribesindia.com/product/bamboo-hair-pin-set
Bamboo Decorative Wall Hanging Bell,Bamboo & Cane,Bamboo Craft,Bamboo & Cane,Unknown,Small/Miniature,Tripura,Home Decor / Exhibition,Unknown,88,,https://www.tribesindia.com/product/bamboo-wall-hanging-bell
Bamboo Woven Cylindrical Desk Pen Holder,Bamboo & Cane,Bamboo Craft,Bamboo,Unknown,Small/Miniature,Assam,Kitchenware & Utility,Unknown,176,,https://www.tribesindia.com/product/bamboo-cylindrical-pen-holder
Bamboo Square Jewellery Storage Box,Bamboo & Cane,Bamboo Weaving,Bamboo,Unknown,Small/Miniature,Manipur,Home Decor / Exhibition,Unknown,264,,https://www.tribesindia.com/product/bamboo-square-jewellery-box
Bamboo Oval Covered Bread Basket,Bamboo & Cane,Basketry,Bamboo,Unknown,Medium/Standard,Tripura,Kitchenware & Utility,Unknown,396,,https://www.tribesindia.com/product/bamboo-oval-covered-bread-basket
Dhokra Metal Tribal Dancer Figurine,Metalwork & Brassware,Dhokra Casting,Bell Metal,Unknown,Medium/Standard,Chhattisgarh,Home Decor / Exhibition,Unknown,2150,,https://www.tribesindia.com/product/dhokra-metal-tribal-dancer-figurine
